Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,Amount,AmountToBePaid
ORD00000015,PROD00000015,USER00000015,10/2/2024,12/4/2023,Electronics,370.08,2,Wrong item,Returned,-303,24,Female,City27,Credit Card,Standard,23.99,740.16,716.17
ORD00000016,PROD00000016,USER00000016,5/9/2024,,Clothing,311.08,1,,Not Returned,,52,Female,City77,PayPal,Standard,6.66,311.08,304.42
ORD00000017,PROD00000017,USER00000017,2/3/2023,6/3/2023,Electronics,400.12,1,Defective,Returned,120,33,Male,City33,PayPal,Standard,18.25,400.12,381.87
ORD00000018,PROD00000018,USER00000018,10/7/2024,3/18/2023,Books,358.31,1,Changed mind,Returned,-569,51,Female,City43,PayPal,Standard,11.84,358.31,346.47
ORD00000019,PROD00000019,USER00000019,7/6/2024,5/1/2024,Electronics,227.94,5,Changed mind,Returned,-66,50,Female,City64,Debit Card,Express,43.86,1139.7,1095.84
ORD00000020,PROD00000020,USER00000020,7/3/2023,,Clothing,6.14,1,,Not Returned,,31,Female,City70,Credit Card,Next-Day,47.47,6.14,-41.33
ORD00000021,PROD00000021,USER00000021,2/28/2024,1/6/2023,Books,85.69,2,Changed mind,Returned,-418,30,Female,City26,Debit Card,Standard,24.58,171.38,146.8
ORD00000022,PROD00000022,USER00000022,7/13/2024,9/13/2023,Books,227.2,5,Wrong item,Returned,-304,65,Female,City90,Gift Card,Next-Day,27.94,1136,1108.06
ORD00000023,PROD00000023,USER00000023,7/1/2024,1/24/2024,Electronics,57.14,2,Wrong item,Returned,-159,41,Female,City28,Gift Card,Standard,43.06,114.28,71.22
ORD00000024,PROD00000024,USER00000024,7/27/2024,,Toys,274.29,2,,Not Returned,,18,Male,City84,Gift Card,Express,2.49,548.58,546.09
ORD00000025,PROD00000025,USER00000025,11/22/2024,,Electronics,371.15,5,,Not Returned,,58,Female,City83,Gift Card,Standard,18.68,1855.75,1837.07
ORD00000026,PROD00000026,USER00000026,3/5/2023,,Toys,232.97,5,,Not Returned,,21,Female,City98,Debit Card,Express,9.85,1164.85,1155
ORD00000027,PROD00000027,USER00000027,5/26/2024,,Home,455.82,1,,Not Returned,,52,Female,City10,PayPal,Express,11.96,455.82,443.86
ORD00000028,PROD00000028,USER00000028,5/15/2024,9/5/2024,Toys,106.6,5,Defective,Returned,113,53,Male,City69,Credit Card,Standard,18.42,533,514.58
ORD00000029,PROD00000029,USER00000029,4/6/2024,,Books,317.9,5,,Not Returned,,59,Female,City32,Gift Card,Standard,18.05,1589.5,1571.45
ORD00000030,PROD00000030,USER00000030,5/2/2023,,Toys,413.34,3,,Not Returned,,49,Male,City55,Credit Card,Standard,38.29,1240.02,1201.73
ORD00000031,PROD00000031,USER00000031,12/9/2023,,Electronics,481.73,5,,Not Returned,,28,Female,City79,Credit Card,Next-Day,20.03,2408.65,2388.62
ORD00000032,PROD00000032,USER00000032,6/30/2024,,Toys,308.89,4,,Not Returned,,68,Female,City47,Debit Card,Express,35.45,1235.56,1200.11
ORD00000033,PROD00000033,USER00000033,2/3/2024,8/18/2023,Home,335.28,4,Wrong item,Returned,-169,18,Male,City20,Debit Card,Next-Day,25.37,1341.12,1315.75
ORD00000034,PROD00000034,USER00000034,9/7/2023,,Toys,290.49,3,,Not Returned,,34,Male,City42,PayPal,Next-Day,8.51,871.47,862.96
ORD00000035,PROD00000035,USER00000035,7/23/2024,,Clothing,331.26,2,,Not Returned,,46,Female,City95,PayPal,Standard,41.02,662.52,621.5
ORD00000036,PROD00000036,USER00000036,1/7/2024,8/29/2023,Electronics,115.82,5,Defective,Returned,-131,54,Female,City43,Credit Card,Express,23.76,579.1,555.34
ORD00000037,PROD00000037,USER00000037,2/11/2023,5/10/2024,Clothing,246.15,1,Wrong item,Returned,454,31,Female,City62,Gift Card,Standard,23.63,246.15,222.52
ORD00000038,PROD00000038,USER00000038,2/17/2023,,Toys,43.82,2,,Not Returned,,28,Female,City11,Credit Card,Next-Day,14.6,87.64,73.04
ORD00000039,PROD00000039,USER00000039,10/27/2024,10/19/2024,Toys,266.34,4,Wrong item,Returned,-8,44,Female,City60,PayPal,Standard,30.88,1065.36,1034.48
ORD00000040,PROD00000040,USER00000040,3/21/2023,,Toys,351.52,1,,Not Returned,,46,Male,City42,PayPal,Next-Day,11.58,351.52,339.94
ORD00000041,PROD00000041,USER00000041,1/3/2024,1/15/2023,Books,334.27,4,Changed mind,Returned,-353,69,Male,City81,PayPal,Express,43.44,1337.08,1293.64
ORD00000042,PROD00000042,USER00000042,2/10/2024,,Books,240.65,2,,Not Returned,,33,Female,City61,Gift Card,Standard,12.93,481.3,468.37
ORD00000043,PROD00000043,USER00000043,5/23/2024,6/5/2024,Clothing,105.7,3,Wrong item,Returned,13,44,Male,City41,Credit Card,Next-Day,42.07,317.1,275.03
ORD00000044,PROD00000044,USER00000044,10/10/2024,,Home,188.76,3,,Not Returned,,66,Female,City12,Gift Card,Standard,12.68,566.28,553.6
ORD00000045,PROD00000045,USER00000045,11/15/2023,2/5/2023,Toys,294.18,2,Changed mind,Returned,-283,69,Male,City89,Gift Card,Next-Day,32.7,588.36,555.66
ORD00000046,PROD00000046,USER00000046,5/22/2023,3/9/2024,Home,97.31,2,Changed mind,Returned,292,53,Female,City49,Debit Card,Next-Day,10.96,194.62,183.66
ORD00000047,PROD00000047,USER00000047,10/23/2024,3/22/2024,Home,335.96,2,Wrong item,Returned,-215,63,Male,City5,Credit Card,Standard,19.05,671.92,652.87
ORD00000048,PROD00000048,USER00000048,4/19/2024,11/16/2023,Electronics,344.31,4,Not as described,Returned,-155,36,Male,City68,Credit Card,Express,10.99,1377.24,1366.25
ORD00000049,PROD00000049,USER00000049,3/14/2024,,Clothing,297.62,4,,Not Returned,,52,Male,City53,Credit Card,Express,16.9,1190.48,1173.58
ORD00000050,PROD00000050,USER00000050,6/14/2023,7/21/2024,Books,23.6,1,Defective,Returned,403,37,Female,City12,Credit Card,Next-Day,6.53,23.6,17.07
ORD00000051,PROD00000051,USER00000051,3/27/2024,,Toys,495.34,3,,Not Returned,,46,Female,City50,Debit Card,Express,43.34,1486.02,1442.68
ORD00000052,PROD00000052,USER00000052,2/22/2024,,Toys,49.47,2,,Not Returned,,53,Female,City46,Credit Card,Express,38.09,98.94,60.85
ORD00000053,PROD00000053,USER00000053,3/12/2024,5/21/2023,Clothing,359.9,3,Defective,Returned,-296,55,Female,City23,Debit Card,Standard,3.01,1079.7,1076.69
ORD00000054,PROD00000054,USER00000054,2/12/2023,,Home,283.79,2,,Not Returned,,42,Male,City76,Debit Card,Next-Day,30.81,567.58,536.77
ORD00000055,PROD00000055,USER00000055,4/30/2023,4/11/2023,Home,352.93,4,Changed mind,Returned,-19,34,Male,City31,Gift Card,Express,22.83,1411.72,1388.89
ORD00000056,PROD00000056,USER00000056,2/4/2024,,Electronics,353.51,4,,Not Returned,,39,Female,City24,Debit Card,Standard,17.72,1414.04,1396.32
ORD00000057,PROD00000057,USER00000057,9/22/2024,9/10/2023,Books,301.68,2,Changed mind,Returned,-378,47,Male,City16,PayPal,Standard,30.59,603.36,572.77
ORD00000058,PROD00000058,USER00000058,5/6/2024,,Home,129.94,5,,Not Returned,,65,Female,City37,PayPal,Next-Day,12.83,649.7,636.87
ORD00000059,PROD00000059,USER00000059,2/13/2023,,Electronics,16.37,2,,Not Returned,,32,Male,City65,Credit Card,Next-Day,16.08,32.74,16.66
ORD00000060,PROD00000060,USER00000060,10/26/2024,2/24/2024,Books,389.83,4,Wrong item,Returned,-245,40,Female,City44,Gift Card,Express,12.23,1559.32,1547.09
ORD00000061,PROD00000061,USER00000061,11/6/2024,,Home,344.6,4,,Not Returned,,28,Female,City80,PayPal,Next-Day,40.95,1378.4,1337.45
ORD00000062,PROD00000062,USER00000062,12/12/2023,,Clothing,195.24,5,,Not Returned,,53,Female,City3,Gift Card,Express,16.1,976.2,960.1
ORD00000063,PROD00000063,USER00000063,11/21/2023,,Clothing,428,1,,Not Returned,,50,Female,City81,Debit Card,Standard,12.39,428,415.61
ORD00000064,PROD00000064,USER00000064,7/6/2024,3/17/2023,Books,429.41,3,Wrong item,Returned,-477,53,Male,City44,Debit Card,Next-Day,13.22,1288.23,1275.01
ORD00000065,PROD00000065,USER00000065,6/3/2023,9/22/2023,Toys,280.61,2,Defective,Returned,111,32,Male,City92,Debit Card,Express,2.34,561.22,558.88
ORD00000066,PROD00000066,USER00000066,9/8/2024,,Books,142.71,2,,Not Returned,,60,Female,City75,Debit Card,Next-Day,19.05,285.42,266.37
ORD00000067,PROD00000067,USER00000067,11/7/2023,5/30/2023,Toys,227.79,3,Not as described,Returned,-161,70,Female,City31,Gift Card,Next-Day,27.11,683.37,656.26
ORD00000068,PROD00000068,USER00000068,11/13/2023,6/16/2024,Electronics,394.08,3,Wrong item,Returned,216,62,Male,City28,Credit Card,Next-Day,12.27,1182.24,1169.97
ORD00000069,PROD00000069,USER00000069,6/11/2024,,Clothing,266.88,2,,Not Returned,,65,Female,City3,Debit Card,Next-Day,21.32,533.76,512.44
ORD00000070,PROD00000070,USER00000070,5/24/2024,6/21/2023,Toys,87.17,4,Defective,Returned,-338,46,Female,City50,Gift Card,Express,32.02,348.68,316.66
ORD00000071,PROD00000071,USER00000071,8/21/2024,,Toys,312.45,4,,Not Returned,,30,Female,City100,PayPal,Next-Day,33.19,1249.8,1216.61
ORD00000072,PROD00000072,USER00000072,3/30/2023,,Toys,481.58,3,,Not Returned,,39,Male,City97,Debit Card,Next-Day,22.71,1444.74,1422.03
ORD00000073,PROD00000073,USER00000073,7/10/2023,,Clothing,283.14,5,,Not Returned,,62,Male,City43,Credit Card,Standard,17.53,1415.7,1398.17
ORD00000074,PROD00000074,USER00000074,2/21/2024,,Toys,84.9,5,,Not Returned,,67,Female,City43,Gift Card,Next-Day,46.26,424.5,378.24
ORD00000075,PROD00000075,USER00000075,5/8/2023,1/19/2024,Electronics,332.39,5,Not as described,Returned,256,36,Male,City53,Debit Card,Next-Day,24.31,1661.95,1637.64
ORD00000076,PROD00000076,USER00000076,5/30/2023,,Electronics,139.6,5,,Not Returned,,34,Male,City24,PayPal,Standard,13.87,698,684.13
ORD00000077,PROD00000077,USER00000077,4/9/2023,1/21/2024,Books,185.34,2,Not as described,Returned,287,31,Female,City34,PayPal,Standard,36.01,370.68,334.67
ORD00000078,PROD00000078,USER00000078,5/7/2023,8/10/2024,Toys,64.29,2,Not as described,Returned,461,39,Male,City57,Debit Card,Express,47.4,128.58,81.18
ORD00000079,PROD00000079,USER00000079,8/7/2024,,Electronics,231.65,5,,Not Returned,,58,Male,City14,Debit Card,Standard,45.83,1158.25,1112.42
ORD00000080,PROD00000080,USER00000080,4/2/2023,,Electronics,44.48,1,,Not Returned,,50,Male,City8,Debit Card,Express,27.66,44.48,16.82
ORD00000081,PROD00000081,USER00000081,3/21/2024,9/13/2023,Clothing,429.47,5,Defective,Returned,-190,39,Male,City10,Gift Card,Standard,44.36,2147.35,2102.99
ORD00000082,PROD00000082,USER00000082,3/17/2023,8/31/2023,Electronics,496.22,5,Changed mind,Returned,167,67,Male,City36,Gift Card,Next-Day,32.87,2481.1,2448.23
ORD00000083,PROD00000083,USER00000083,6/8/2023,10/23/2024,Electronics,52.19,1,Not as described,Returned,503,21,Female,City100,Debit Card,Standard,35.14,52.19,17.05
ORD00000084,PROD00000084,USER00000084,11/18/2024,,Books,427.29,3,,Not Returned,,51,Male,City28,PayPal,Standard,46.46,1281.87,1235.41
ORD00000085,PROD00000085,USER00000085,4/13/2023,,Home,283.68,3,,Not Returned,,49,Male,City95,Credit Card,Next-Day,38.31,851.04,812.73
ORD00000086,PROD00000086,USER00000086,3/6/2024,,Home,255.78,2,,Not Returned,,63,Female,City52,Credit Card,Next-Day,34.49,511.56,477.07
ORD00000087,PROD00000087,USER00000087,8/3/2023,,Books,478.47,4,,Not Returned,,22,Female,City71,PayPal,Standard,9.06,1913.88,1904.82
ORD00000088,PROD00000088,USER00000088,12/12/2023,9/27/2023,Electronics,78.94,2,Changed mind,Returned,-76,23,Female,City1,Credit Card,Express,49.94,157.88,107.94
ORD00000089,PROD00000089,USER00000089,7/31/2023,,Home,481.66,3,,Not Returned,,28,Male,City4,PayPal,Next-Day,20.8,1444.98,1424.18
ORD00000090,PROD00000090,USER00000090,10/10/2024,,Toys,193.16,3,,Not Returned,,56,Male,City11,PayPal,Express,26.81,579.48,552.67
ORD00000091,PROD00000091,USER00000091,12/25/2024,8/11/2024,Toys,99.21,1,Not as described,Returned,-136,29,Female,City17,PayPal,Next-Day,30.21,99.21,69
ORD00000092,PROD00000092,USER00000092,10/2/2023,2/27/2024,Home,394.71,4,Changed mind,Returned,148,66,Female,City25,Gift Card,Next-Day,16.01,1578.84,1562.83
ORD00000093,PROD00000093,USER00000093,7/29/2023,7/1/2024,Home,230.9,2,Defective,Returned,338,69,Male,City10,Credit Card,Next-Day,26.62,461.8,435.18
ORD00000094,PROD00000094,USER00000094,4/3/2024,,Clothing,296.56,1,,Not Returned,,39,Female,City97,Gift Card,Standard,32.02,296.56,264.54
ORD00000095,PROD00000095,USER00000095,2/27/2023,,Books,490.55,1,,Not Returned,,62,Male,City10,PayPal,Standard,17.9,490.55,472.65
ORD00000096,PROD00000096,USER00000096,6/18/2023,11/8/2023,Toys,496.31,4,Defective,Returned,143,53,Male,City88,Gift Card,Next-Day,10.15,1985.24,1975.09
ORD00000097,PROD00000097,USER00000097,12/8/2024,4/15/2024,Toys,104.39,2,Defective,Returned,-237,58,Female,City46,Credit Card,Standard,28.68,208.78,180.1
ORD00000098,PROD00000098,USER00000098,2/21/2024,,Clothing,434.25,5,,Not Returned,,18,Female,City83,Gift Card,Express,7.11,2171.25,2164.14
ORD00000099,PROD00000099,USER00000099,12/7/2023,12/30/2024,Books,46.61,1,Wrong item,Returned,389,42,Male,City12,Credit Card,Next-Day,8.9,46.61,37.71
ORD00000100,PROD00000100,USER00000100,10/30/2023,,Clothing,284.49,4,,Not Returned,,48,Female,City59,Credit Card,Next-Day,39.82,1137.96,1098.14
ORD00000101,PROD00000101,USER00000101,5/1/2024,8/20/2024,Books,169.93,5,Wrong item,Returned,111,40,Male,City40,Credit Card,Next-Day,27.73,849.65,821.92
ORD00000102,PROD00000102,USER00000102,9/21/2023,,Books,146.37,4,,Not Returned,,23,Female,City66,Debit Card,Express,42.55,585.48,542.93
ORD00000103,PROD00000103,USER00000103,9/8/2024,,Electronics,444.43,4,,Not Returned,,48,Female,City27,Debit Card,Next-Day,28.53,1777.72,1749.19
ORD00000104,PROD00000104,USER00000104,4/10/2023,10/24/2023,Home,35.16,3,Defective,Returned,197,48,Female,City27,PayPal,Next-Day,3.9,105.48,101.58
ORD00000105,PROD00000105,USER00000105,6/12/2023,,Home,287.93,4,,Not Returned,,66,Female,City14,Debit Card,Standard,3.37,1151.72,1148.35
ORD00000106,PROD00000106,USER00000106,9/3/2023,4/4/2023,Books,448.84,2,Changed mind,Returned,-152,60,Male,City20,Gift Card,Express,26.3,897.68,871.38
ORD00000107,PROD00000107,USER00000107,10/9/2023,,Toys,168.68,2,,Not Returned,,48,Male,City22,PayPal,Standard,44.53,337.36,292.83
ORD00000108,PROD00000108,USER00000108,10/17/2024,,Books,466.62,3,,Not Returned,,24,Male,City83,Debit Card,Express,8.36,1399.86,1391.5
ORD00000109,PROD00000109,USER00000109,8/27/2024,,Clothing,51.56,4,,Not Returned,,37,Male,City95,Credit Card,Express,44.74,206.24,161.5
ORD00000110,PROD00000110,USER00000110,5/31/2024,,Toys,79.31,1,,Not Returned,,37,Female,City36,Gift Card,Next-Day,29.18,79.31,50.13
ORD00000111,PROD00000111,USER00000111,8/3/2024,9/1/2023,Home,315.11,5,Defective,Returned,-337,50,Female,City71,PayPal,Express,37.68,1575.55,1537.87
ORD00000112,PROD00000112,USER00000112,5/12/2024,4/6/2023,Clothing,259.57,2,Not as described,Returned,-402,55,Female,City90,Credit Card,Next-Day,40.28,519.14,478.86
ORD00000113,PROD00000113,USER00000113,3/10/2024,,Clothing,137.72,3,,Not Returned,,45,Male,City8,Debit Card,Standard,1.13,413.16,412.03
ORD00000114,PROD00000114,USER00000114,1/7/2023,,Electronics,464.67,4,,Not Returned,,54,Male,City26,Gift Card,Standard,19.21,1858.68,1839.47
ORD00000115,PROD00000115,USER00000115,6/7/2024,6/1/2023,Toys,197.66,4,Not as described,Returned,-372,59,Female,City9,Credit Card,Next-Day,42.31,790.64,748.33
ORD00000116,PROD00000116,USER00000116,9/26/2023,7/15/2024,Books,79.9,4,Defective,Returned,293,42,Female,City73,PayPal,Express,22.19,319.6,297.41
ORD00000117,PROD00000117,USER00000117,2/4/2024,9/17/2024,Electronics,265.23,4,Changed mind,Returned,226,57,Male,City89,Credit Card,Next-Day,49.85,1060.92,1011.07
ORD00000118,PROD00000118,USER00000118,12/4/2023,7/1/2023,Books,91.84,2,Not as described,Returned,-156,56,Female,City7,Credit Card,Next-Day,31.58,183.68,152.1
ORD00000119,PROD00000119,USER00000119,4/13/2023,,Clothing,468.62,2,,Not Returned,,31,Male,City27,Gift Card,Next-Day,46.77,937.24,890.47
ORD00000120,PROD00000120,USER00000120,8/8/2024,10/13/2024,Books,245.44,5,Changed mind,Returned,66,29,Female,City34,PayPal,Standard,25.44,1227.2,1201.76
ORD00000121,PROD00000121,USER00000121,9/6/2023,,Toys,116.2,2,,Not Returned,,37,Male,City69,Gift Card,Next-Day,48.36,232.4,184.04
ORD00000122,PROD00000122,USER00000122,6/12/2024,,Home,400.21,3,,Not Returned,,69,Female,City20,PayPal,Standard,36.32,1200.63,1164.31
ORD00000123,PROD00000123,USER00000123,7/4/2024,11/2/2023,Electronics,490.8,2,Changed mind,Returned,-245,37,Female,City23,Credit Card,Express,43.37,981.6,938.23
ORD00000124,PROD00000124,USER00000124,3/9/2023,,Books,310.14,2,,Not Returned,,54,Male,City65,PayPal,Express,22.6,620.28,597.68
ORD00000125,PROD00000125,USER00000125,12/20/2024,,Home,247.46,2,,Not Returned,,48,Male,City52,Gift Card,Next-Day,19.97,494.92,474.95
ORD00000126,PROD00000126,USER00000126,1/14/2023,,Home,255.71,2,,Not Returned,,57,Male,City76,Credit Card,Standard,7.64,511.42,503.78
ORD00000127,PROD00000127,USER00000127,3/3/2024,,Books,172.02,1,,Not Returned,,46,Female,City11,Credit Card,Next-Day,2.75,172.02,169.27
ORD00000128,PROD00000128,USER00000128,12/1/2023,,Clothing,170.05,2,,Not Returned,,23,Male,City56,Debit Card,Express,35.55,340.1,304.55
ORD00000129,PROD00000129,USER00000129,4/9/2024,,Toys,314.35,3,,Not Returned,,22,Male,City3,Credit Card,Standard,15.81,943.05,927.24
ORD00000130,PROD00000130,USER00000130,2/25/2024,,Electronics,319.34,1,,Not Returned,,54,Male,City76,Gift Card,Next-Day,18.74,319.34,300.6
ORD00000131,PROD00000131,USER00000131,5/24/2024,10/10/2023,Books,219.29,2,Changed mind,Returned,-227,56,Male,City6,Credit Card,Express,32.59,438.58,405.99
ORD00000132,PROD00000132,USER00000132,2/15/2023,9/3/2024,Electronics,174.94,1,Defective,Returned,566,62,Female,City48,PayPal,Next-Day,22.43,174.94,152.51
ORD00000133,PROD00000133,USER00000133,3/4/2024,,Home,85.28,2,,Not Returned,,20,Female,City70,Credit Card,Express,1.55,170.56,169.01
ORD00000134,PROD00000134,USER00000134,1/25/2023,1/5/2023,Books,18.83,1,Wrong item,Returned,-20,27,Male,City26,Gift Card,Standard,1.57,18.83,17.26
ORD00000135,PROD00000135,USER00000135,5/31/2024,7/16/2023,Electronics,291.09,4,Changed mind,Returned,-320,19,Female,City14,Debit Card,Express,8.37,1164.36,1155.99
ORD00000136,PROD00000136,USER00000136,1/23/2023,6/11/2023,Toys,386.51,1,Wrong item,Returned,139,27,Male,City50,Credit Card,Standard,10.19,386.51,376.32
ORD00000137,PROD00000137,USER00000137,7/17/2024,1/13/2024,Electronics,285.21,4,Not as described,Returned,-186,32,Male,City44,Debit Card,Next-Day,40.21,1140.84,1100.63
ORD00000138,PROD00000138,USER00000138,8/1/2023,,Clothing,238.63,2,,Not Returned,,46,Female,City27,Credit Card,Express,20.89,477.26,456.37
ORD00000139,PROD00000139,USER00000139,4/9/2024,10/13/2023,Books,16.55,4,Changed mind,Returned,-179,21,Female,City32,Credit Card,Express,22.61,66.2,43.59
ORD00000140,PROD00000140,USER00000140,10/9/2024,10/15/2023,Home,161.94,5,Changed mind,Returned,-360,68,Female,City61,Gift Card,Standard,35.96,809.7,773.74
ORD00000141,PROD00000141,USER00000141,7/29/2023,5/13/2024,Clothing,173.42,1,Wrong item,Returned,289,33,Female,City34,Gift Card,Express,26.04,173.42,147.38
ORD00000142,PROD00000142,USER00000142,10/17/2023,,Electronics,199.13,4,,Not Returned,,50,Female,City17,Credit Card,Express,4.82,796.52,791.7
ORD00000143,PROD00000143,USER00000143,1/1/2023,,Electronics,219.56,1,,Not Returned,,24,Female,City11,Debit Card,Standard,1.05,219.56,218.51
ORD00000144,PROD00000144,USER00000144,8/3/2024,5/16/2024,Toys,288.71,3,Defective,Returned,-79,60,Male,City57,Credit Card,Express,42.11,866.13,824.02
ORD00000145,PROD00000145,USER00000145,10/10/2023,,Clothing,66.65,2,,Not Returned,,58,Female,City90,PayPal,Express,38.8,133.3,94.5
ORD00000146,PROD00000146,USER00000146,10/12/2024,,Clothing,328.09,3,,Not Returned,,59,Female,City29,Gift Card,Next-Day,8.73,984.27,975.54
ORD00000147,PROD00000147,USER00000147,12/18/2024,,Clothing,222.62,3,,Not Returned,,53,Female,City79,PayPal,Express,10.03,667.86,657.83
ORD00000148,PROD00000148,USER00000148,10/27/2024,,Toys,404.5,1,,Not Returned,,31,Female,City77,Gift Card,Express,44.89,404.5,359.61
ORD00000149,PROD00000149,USER00000149,10/15/2024,,Toys,438.43,4,,Not Returned,,32,Male,City12,Credit Card,Express,26.75,1753.72,1726.97
ORD00000150,PROD00000150,USER00000150,9/1/2024,2/23/2023,Books,402.79,2,Wrong item,Returned,-556,23,Female,City37,PayPal,Next-Day,2.22,805.58,803.36
ORD00000151,PROD00000151,USER00000151,10/1/2023,,Toys,140.06,1,,Not Returned,,42,Male,City40,Gift Card,Next-Day,33.08,140.06,106.98
ORD00000152,PROD00000152,USER00000152,7/19/2024,,Home,255.92,1,,Not Returned,,18,Female,City81,Debit Card,Standard,33.02,255.92,222.9
ORD00000153,PROD00000153,USER00000153,10/20/2024,2/6/2023,Clothing,444.83,1,Defective,Returned,-622,20,Female,City2,PayPal,Express,26.84,444.83,417.99
ORD00000154,PROD00000154,USER00000154,8/7/2024,,Electronics,27.23,3,,Not Returned,,42,Male,City56,Credit Card,Express,49.27,81.69,32.42
ORD00000155,PROD00000155,USER00000155,6/27/2024,1/29/2023,Books,332.49,4,Changed mind,Returned,-515,66,Female,City43,Credit Card,Express,34.21,1329.96,1295.75
ORD00000156,PROD00000156,USER00000156,2/1/2024,,Home,469.69,5,,Not Returned,,28,Female,City26,Gift Card,Express,22.43,2348.45,2326.02
ORD00000157,PROD00000157,USER00000157,6/26/2024,,Books,31.93,5,,Not Returned,,40,Male,City94,Debit Card,Standard,5.75,159.65,153.9
ORD00000158,PROD00000158,USER00000158,7/8/2023,,Books,24.41,5,,Not Returned,,69,Male,City4,Credit Card,Next-Day,22.26,122.05,99.79
ORD00000159,PROD00000159,USER00000159,9/15/2023,8/25/2024,Clothing,217.79,4,Defective,Returned,345,40,Male,City62,PayPal,Express,34.27,871.16,836.89
ORD00000160,PROD00000160,USER00000160,11/4/2023,9/28/2024,Clothing,434.66,2,Not as described,Returned,329,19,Female,City81,Debit Card,Standard,49.39,869.32,819.93
ORD00000161,PROD00000161,USER00000161,4/30/2024,,Books,32.48,2,,Not Returned,,57,Female,City47,Gift Card,Standard,9.27,64.96,55.69
ORD00000162,PROD00000162,USER00000162,7/6/2024,3/18/2023,Toys,231.11,5,Changed mind,Returned,-476,40,Female,City6,Credit Card,Next-Day,21.38,1155.55,1134.17
ORD00000163,PROD00000163,USER00000163,4/27/2023,9/14/2024,Toys,291.43,4,Defective,Returned,506,22,Male,City73,PayPal,Express,8.13,1165.72,1157.59
ORD00000164,PROD00000164,USER00000164,6/2/2024,10/2/2024,Electronics,128.65,1,Changed mind,Returned,122,37,Female,City62,Debit Card,Next-Day,1.9,128.65,126.75
ORD00000165,PROD00000165,USER00000165,10/1/2023,8/1/2024,Books,396.48,5,Wrong item,Returned,305,69,Male,City36,Debit Card,Express,39.19,1982.4,1943.21
ORD00000166,PROD00000166,USER00000166,3/14/2023,,Books,300.03,1,,Not Returned,,42,Male,City90,Credit Card,Next-Day,46.37,300.03,253.66
ORD00000167,PROD00000167,USER00000167,11/16/2024,11/30/2023,Books,324.85,5,Defective,Returned,-352,51,Female,City66,Debit Card,Express,20.53,1624.25,1603.72
ORD00000168,PROD00000168,USER00000168,9/1/2023,,Toys,443.71,3,,Not Returned,,19,Female,City96,Credit Card,Express,46.28,1331.13,1284.85
